split_id,iteration,is_lookahead,parent_v1x,parent_v1y,parent_v2x,parent_v2y,parent_v3x,parent_v3y,split_src_x,split_src_y,split_tgt_x,split_tgt_y,child1_v1x,child1_v1y,child1_v2x,child1_v2y,child1_v3x,child1_v3y,child2_v1x,child2_v1y,child2_v2x,child2_v2y,child2_v3x,child2_v3y
11,11,1,-96.7566,49.8803,-96.9598,41.8345,-96.7631,42.087,-96.7566,49.8803,-96.8641,41.9574,-96.7566,49.8803,-96.9598,41.8345,-96.8641,41.9574,-96.7566,49.8803,-96.8641,41.9574,-96.7631,42.087
12,12,1,-96.7631,42.0494,-96.5465,41.7417,-96.5557,42.0957,-96.7631,42.0494,-96.5515,41.9342,-96.7631,42.0494,-96.5465,41.7417,-96.5515,41.9342,-96.7631,42.0494,-96.5515,41.9342,-96.5557,42.0957
13,13,1,-96.7631,42.0494,-96.5557,42.0957,-96.7566,49.8803,-96.7631,42.0494,-96.5568,42.1405,-96.7631,42.0494,-96.5557,42.0957,-96.5568,42.1405,-96.7631,42.0494,-96.5568,42.1405,-96.7566,49.8803
14,14,1,-96.7631,42.0494,-96.7634,41.7423,-96.6749,41.742,-96.7631,42.0494,-96.7207,41.7422,-96.7631,42.0494,-96.7634,41.7423,-96.7207,41.7422,-96.7631,42.0494,-96.7207,41.7422,-96.6749,41.742
15,15,1,-96.7631,42.0494,-96.6749,41.742,-96.5465,41.7417,-96.7631,42.0494,-96.5917,41.7418,-96.7631,42.0494,-96.6749,41.742,-96.5917,41.7418,-96.7631,42.0494,-96.5917,41.7418,-96.5465,41.7417
16,16,1,-96.7631,42.087,-97.0311,41.743,-96.995,41.7429,-96.7631,42.087,-97.0142,41.7429,-96.7631,42.087,-97.0311,41.743,-97.0142,41.7429,-96.7631,42.087,-97.0142,41.7429,-96.995,41.7429
17,17,1,-96.7631,42.087,-96.995,41.7429,-96.9138,41.7427,-96.7631,42.087,-96.9487,41.7428,-96.7631,42.087,-96.995,41.7429,-96.9487,41.7428,-96.7631,42.087,-96.9487,41.7428,-96.9138,41.7427
18,18,1,-96.7631,42.087,-96.9138,41.7427,-96.8196,41.7424,-96.7631,42.087,-96.8675,41.7426,-96.7631,42.087,-96.9138,41.7427,-96.8675,41.7426,-96.7631,42.087,-96.8675,41.7426,-96.8196,41.7424
19,19,1,-96.7631,42.087,-96.8196,41.7424,-96.7634,41.7423,-96.7631,42.087,-96.7907,41.7424,-96.7631,42.087,-96.8196,41.7424,-96.7907,41.7424,-96.7631,42.087,-96.7907,41.7424,-96.7634,41.7423
20,20,1,-96.9598,41.8345,-96.7566,49.8803,-97.0238,41.9585,-96.9598,41.8345,-97.0209,42.046,-96.9598,41.8345,-96.7566,49.8803,-97.0209,42.046,-96.9598,41.8345,-97.0209,42.046,-97.0238,41.9585
21,21,1,-96.9598,41.8345,-97.0238,41.9585,-97.0311,41.743,-96.9598,41.8345,-97.0274,41.8524,-96.9598,41.8345,-97.0238,41.9585,-97.0274,41.8524,-96.9598,41.8345,-97.0274,41.8524,-97.0311,41.743
22,22,1,-96.7566,49.8803,-96.9598,41.8345,-96.8641,41.9574,-96.9598,41.8345,-96.858,42.4068,-96.9598,41.8345,-96.8641,41.9574,-96.858,42.4068,-96.9598,41.8345,-96.858,42.4068,-96.7566,49.8803
23,23,1,-96.7566,49.8803,-96.8641,41.9574,-96.7631,42.087,-96.8641,41.9574,-96.763,42.1905,-96.8641,41.9574,-96.7631,42.087,-96.763,42.1905,-96.8641,41.9574,-96.763,42.1905,-96.7566,49.8803
24,24,1,-96.7631,42.0494,-96.5465,41.7417,-96.5515,41.9342,-96.7631,42.0494,-96.5491,41.8409,-96.7631,42.0494,-96.5465,41.7417,-96.5491,41.8409,-96.7631,42.0494,-96.5491,41.8409,-96.5515,41.9342
25,25,1,-96.7631,42.0494,-96.5515,41.9342,-96.5557,42.0957,-96.7631,42.0494,-96.5536,42.0156,-96.7631,42.0494,-96.5515,41.9342,-96.5536,42.0156,-96.7631,42.0494,-96.5536,42.0156,-96.5557,42.0957
26,26,1,-96.7631,42.0494,-96.5557,42.0957,-96.5568,42.1405,-96.5568,42.1405,-96.6301,42.0791,-96.5568,42.1405,-96.7631,42.0494,-96.6301,42.0791,-96.5568,42.1405,-96.6301,42.0791,-96.5557,42.0957
27,27,1,-96.7631,42.0494,-96.5568,42.1405,-96.7566,49.8803,-96.5568,42.1405,-96.7631,42.0722,-96.5568,42.1405,-96.7566,49.8803,-96.7631,42.0722,-96.5568,42.1405,-96.7631,42.0722,-96.7631,42.0494
28,28,1,-96.7631,42.0494,-96.7634,41.7423,-96.7207,41.7422,-96.7634,41.7423,-96.7207,41.7424,-96.7634,41.7423,-96.7207,41.7422,-96.7207,41.7424,-96.7634,41.7423,-96.7207,41.7424,-96.7631,42.0494
29,29,1,-96.7631,42.0494,-96.7207,41.7422,-96.6749,41.742,-96.6749,41.742,-96.7208,41.7425,-96.6749,41.742,-96.7631,42.0494,-96.7208,41.7425,-96.6749,41.742,-96.7208,41.7425,-96.7207,41.7422
30,30,1,-96.7631,42.0494,-96.6749,41.742,-96.5917,41.7418,-96.5917,41.7418,-96.6751,41.7427,-96.5917,41.7418,-96.7631,42.0494,-96.6751,41.7427,-96.5917,41.7418,-96.6751,41.7427,-96.6749,41.742
31,31,1,-96.7631,42.0494,-96.5917,41.7418,-96.5465,41.7417,-96.5465,41.7417,-96.592,41.7423,-96.5465,41.7417,-96.7631,42.0494,-96.592,41.7423,-96.5465,41.7417,-96.592,41.7423,-96.5917,41.7418
32,32,1,-96.7631,42.087,-97.0311,41.743,-97.0142,41.7429,-96.7631,42.087,-97.0217,41.743,-96.7631,42.087,-97.0311,41.743,-97.0217,41.743,-96.7631,42.087,-97.0217,41.743,-97.0142,41.7429
33,33,1,-96.7631,42.087,-97.0142,41.7429,-96.995,41.7429,-96.7631,42.087,-97.0028,41.7429,-96.7631,42.087,-97.0142,41.7429,-97.0028,41.7429,-96.7631,42.087,-97.0028,41.7429,-96.995,41.7429
34,34,1,-96.7631,42.087,-96.995,41.7429,-96.9487,41.7428,-96.995,41.7429,-96.9486,41.7429,-96.995,41.7429,-96.9487,41.7428,-96.9486,41.7429,-96.995,41.7429,-96.9486,41.7429,-96.7631,42.087
35,35,1,-96.7631,42.087,-96.9487,41.7428,-96.9138,41.7427,-96.7631,42.087,-96.933,41.7427,-96.7631,42.087,-96.9487,41.7428,-96.933,41.7427,-96.7631,42.087,-96.933,41.7427,-96.9138,41.7427
36,36,1,-96.7631,42.087,-96.9138,41.7427,-96.8675,41.7426,-96.8675,41.7426,-96.9137,41.7429,-96.8675,41.7426,-96.7631,42.087,-96.9137,41.7429,-96.8675,41.7426,-96.9137,41.7429,-96.9138,41.7427
37,37,1,-96.7631,42.087,-96.8675,41.7426,-96.8196,41.7424,-96.7631,42.087,-96.8468,41.7425,-96.7631,42.087,-96.8675,41.7426,-96.8468,41.7425,-96.7631,42.087,-96.8468,41.7425,-96.8196,41.7424
38,38,1,-96.7631,42.087,-96.8196,41.7424,-96.7907,41.7424,-96.8196,41.7424,-96.7906,41.7431,-96.8196,41.7424,-96.7907,41.7424,-96.7906,41.7431,-96.8196,41.7424,-96.7906,41.7431,-96.7631,42.087
39,39,1,-96.7631,42.087,-96.7907,41.7424,-96.7634,41.7423,-96.7631,42.087,-96.7784,41.7423,-96.7631,42.087,-96.7907,41.7424,-96.7784,41.7423,-96.7631,42.087,-96.7784,41.7423,-96.7634,41.7423
40,40,1,-96.9598,41.8345,-96.7566,49.8803,-97.0209,42.046,-96.9598,41.8345,-97.0194,42.0906,-96.9598,41.8345,-96.7566,49.8803,-97.0194,42.0906,-96.9598,41.8345,-97.0194,42.0906,-97.0209,42.046
41,41,1,-96.9598,41.8345,-97.0209,42.046,-97.0238,41.9585,-96.9598,41.8345,-97.022,42.0113,-96.9598,41.8345,-97.0209,42.046,-97.022,42.0113,-96.9598,41.8345,-97.022,42.0113,-97.0238,41.9585
42,42,1,-96.9598,41.8345,-97.0238,41.9585,-97.0274,41.8524,-96.9598,41.8345,-97.0255,41.909,-96.9598,41.8345,-97.0238,41.9585,-97.0255,41.909,-96.9598,41.8345,-97.0255,41.909,-97.0274,41.8524
43,43,1,-96.9598,41.8345,-97.0274,41.8524,-97.0311,41.743,-97.0274,41.8524,-97.0136,41.7655,-97.0274,41.8524,-97.0311,41.743,-97.0136,41.7655,-97.0274,41.8524,-97.0136,41.7655,-96.9598,41.8345
44,44,1,-96.9598,41.8345,-96.8641,41.9574,-96.858,42.4068,-96.8641,41.9574,-96.9042,42.1471,-96.8641,41.9574,-96.858,42.4068,-96.9042,42.1471,-96.8641,41.9574,-96.9042,42.1471,-96.9598,41.8345
45,45,1,-96.9598,41.8345,-96.858,42.4068,-96.7566,49.8803,-96.858,42.4068,-96.9563,41.9741,-96.858,42.4068,-96.7566,49.8803,-96.9563,41.9741,-96.858,42.4068,-96.9563,41.9741,-96.9598,41.8345
46,46,1,-96.8641,41.9574,-96.7631,42.087,-96.763,42.1905,-96.7631,42.087,-96.805,42.0936,-96.7631,42.087,-96.763,42.1905,-96.805,42.0936,-96.7631,42.087,-96.805,42.0936,-96.8641,41.9574
47,47,1,-96.8641,41.9574,-96.763,42.1905,-96.7566,49.8803,-96.8641,41.9574,-96.7629,42.3725,-96.8641,41.9574,-96.763,42.1905,-96.7629,42.3725,-96.8641,41.9574,-96.7629,42.3725,-96.7566,49.8803
48,48,1,-96.7631,42.0494,-96.5465,41.7417,-96.5491,41.8409,-96.5491,41.8409,-96.5576,41.7574,-96.5491,41.8409,-96.7631,42.0494,-96.5576,41.7574,-96.5491,41.8409,-96.5576,41.7574,-96.5465,41.7417
49,49,1,-96.7631,42.0494,-96.5491,41.8409,-96.5515,41.9342,-96.7631,42.0494,-96.5505,41.8975,-96.7631,42.0494,-96.5491,41.8409,-96.5505,41.8975,-96.7631,42.0494,-96.5505,41.8975,-96.5515,41.9342
50,50,1,-96.7631,42.0494,-96.5515,41.9342,-96.5536,42.0156,-96.7631,42.0494,-96.5526,41.9777,-96.7631,42.0494,-96.5515,41.9342,-96.5526,41.9777,-96.7631,42.0494,-96.5526,41.9777,-96.5536,42.0156
51,51,1,-96.7631,42.0494,-96.5536,42.0156,-96.5557,42.0957,-96.7631,42.0494,-96.5549,42.0668,-96.7631,42.0494,-96.5536,42.0156,-96.5549,42.0668,-96.7631,42.0494,-96.5549,42.0668,-96.5557,42.0957
52,52,1,-96.5568,42.1405,-96.7631,42.0494,-96.6301,42.0791,-96.5568,42.1405,-96.6788,42.0682,-96.5568,42.1405,-96.7631,42.0494,-96.6788,42.0682,-96.5568,42.1405,-96.6788,42.0682,-96.6301,42.0791
53,53,1,-96.5568,42.1405,-96.6301,42.0791,-96.5557,42.0957,-96.5568,42.1405,-96.6062,42.0844,-96.5568,42.1405,-96.6301,42.0791,-96.6062,42.0844,-96.5568,42.1405,-96.6062,42.0844,-96.5557,42.0957
54,54,1,-96.5568,42.1405,-96.7566,49.8803,-96.7631,42.0722,-96.7631,42.0722,-96.5599,42.2612,-96.7631,42.0722,-96.5568,42.1405,-96.5599,42.2612,-96.7631,42.0722,-96.5599,42.2612,-96.7566,49.8803
55,55,1,-96.5568,42.1405,-96.7631,42.0722,-96.7631,42.0494,-96.5568,42.1405,-96.7631,42.0549,-96.5568,42.1405,-96.7631,42.0722,-96.7631,42.0549,-96.5568,42.1405,-96.7631,42.0549,-96.7631,42.0494
56,56,1,-96.7634,41.7423,-96.7207,41.7422,-96.7207,41.7424,-96.7207,41.7424,-96.7333,41.7422,-96.7207,41.7424,-96.7634,41.7423,-96.7333,41.7422,-96.7207,41.7424,-96.7333,41.7422,-96.7207,41.7422
57,57,1,-96.7634,41.7423,-96.7207,41.7424,-96.7631,42.0494,-96.7631,42.0494,-96.7488,41.7423,-96.7631,42.0494,-96.7634,41.7423,-96.7488,41.7423,-96.7631,42.0494,-96.7488,41.7423,-96.7207,41.7424
58,58,1,-96.6749,41.742,-96.7631,42.0494,-96.7208,41.7425,-96.7631,42.0494,-96.6983,41.7423,-96.7631,42.0494,-96.7208,41.7425,-96.6983,41.7423,-96.7631,42.0494,-96.6983,41.7423,-96.6749,41.742
59,59,1,-96.6749,41.742,-96.7208,41.7425,-96.7207,41.7422,-96.7208,41.7425,-96.7107,41.7421,-96.7208,41.7425,-96.7207,41.7422,-96.7107,41.7421,-96.7208,41.7425,-96.7107,41.7421,-96.6749,41.742
60,60,1,-96.5917,41.7418,-96.7631,42.0494,-96.6751,41.7427,-96.7631,42.0494,-96.6104,41.742,-96.7631,42.0494,-96.6751,41.7427,-96.6104,41.742,-96.7631,42.0494,-96.6104,41.742,-96.5917,41.7418
61,61,1,-96.5917,41.7418,-96.6751,41.7427,-96.6749,41.742,-96.6751,41.7427,-96.6352,41.7419,-96.6751,41.7427,-96.6749,41.742,-96.6352,41.7419,-96.6751,41.7427,-96.6352,41.7419,-96.5917,41.7418
62,62,1,-96.5465,41.7417,-96.7631,42.0494,-96.592,41.7423,-96.592,41.7423,-96.5467,41.7419,-96.592,41.7423,-96.5465,41.7417,-96.5467,41.7419,-96.592,41.7423,-96.5467,41.7419,-96.7631,42.0494
63,63,1,-96.5465,41.7417,-96.592,41.7423,-96.5917,41.7418,-96.5917,41.7418,-96.5822,41.7422,-96.5917,41.7418,-96.5465,41.7417,-96.5822,41.7422,-96.5917,41.7418,-96.5822,41.7422,-96.592,41.7423
64,64,1,-96.7631,42.087,-97.0311,41.743,-97.0217,41.743,-97.0217,41.743,-97.0112,41.7686,-97.0217,41.743,-96.7631,42.087,-97.0112,41.7686,-97.0217,41.743,-97.0112,41.7686,-97.0311,41.743
65,65,1,-96.7631,42.087,-97.0217,41.743,-97.0142,41.7429,-97.0217,41.743,-96.9926,41.7725,-97.0217,41.743,-97.0142,41.7429,-96.9926,41.7725,-97.0217,41.743,-96.9926,41.7725,-96.7631,42.087
66,66,1,-96.7631,42.087,-97.0142,41.7429,-97.0028,41.7429,-96.7631,42.087,-97.006,41.7429,-96.7631,42.087,-97.0142,41.7429,-97.006,41.7429,-96.7631,42.087,-97.006,41.7429,-97.0028,41.7429
67,67,1,-96.7631,42.087,-97.0028,41.7429,-96.995,41.7429,-96.7631,42.087,-97.0005,41.7429,-96.7631,42.087,-97.0028,41.7429,-97.0005,41.7429,-96.7631,42.087,-97.0005,41.7429,-96.995,41.7429
68,68,1,-96.995,41.7429,-96.9487,41.7428,-96.9486,41.7429,-96.9486,41.7429,-96.9721,41.7428,-96.9486,41.7429,-96.995,41.7429,-96.9721,41.7428,-96.9486,41.7429,-96.9721,41.7428,-96.9487,41.7428
69,69,1,-96.995,41.7429,-96.9486,41.7429,-96.7631,42.087,-96.995,41.7429,-96.9485,41.7431,-96.995,41.7429,-96.9486,41.7429,-96.9485,41.7431,-96.995,41.7429,-96.9485,41.7431,-96.7631,42.087
70,70,1,-96.7631,42.087,-96.9487,41.7428,-96.933,41.7427,-96.933,41.7427,-96.9485,41.743,-96.933,41.7427,-96.7631,42.087,-96.9485,41.743,-96.933,41.7427,-96.9485,41.743,-96.9487,41.7428
71,71,1,-96.7631,42.087,-96.933,41.7427,-96.9138,41.7427,-96.933,41.7427,-96.9137,41.7429,-96.933,41.7427,-96.9138,41.7427,-96.9137,41.7429,-96.933,41.7427,-96.9137,41.7429,-96.7631,42.087
72,72,1,-96.8675,41.7426,-96.7631,42.087,-96.9137,41.7429,-96.9137,41.7429,-96.8674,41.7427,-96.9137,41.7429,-96.8675,41.7426,-96.8674,41.7427,-96.9137,41.7429,-96.8674,41.7427,-96.7631,42.087
73,73,1,-96.8675,41.7426,-96.9137,41.7429,-96.9138,41.7427,-96.9137,41.7429,-96.8918,41.7426,-96.9137,41.7429,-96.9138,41.7427,-96.8918,41.7426,-96.9137,41.7429,-96.8918,41.7426,-96.8675,41.7426
74,74,1,-96.7631,42.087,-96.8675,41.7426,-96.8468,41.7425,-96.8675,41.7426,-96.8467,41.7428,-96.8675,41.7426,-96.8468,41.7425,-96.8467,41.7428,-96.8675,41.7426,-96.8467,41.7428,-96.7631,42.087
75,75,1,-96.7631,42.087,-96.8468,41.7425,-96.8196,41.7424,-96.8196,41.7424,-96.8467,41.7429,-96.8196,41.7424,-96.7631,42.087,-96.8467,41.7429,-96.8196,41.7424,-96.8467,41.7429,-96.8468,41.7425
76,76,1,-96.8196,41.7424,-96.7907,41.7424,-96.7906,41.7431,-96.7906,41.7431,-96.8079,41.7424,-96.7906,41.7431,-96.8196,41.7424,-96.8079,41.7424,-96.7906,41.7431,-96.8079,41.7424,-96.7907,41.7424
77,77,1,-96.8196,41.7424,-96.7906,41.7431,-96.7631,42.087,-96.7906,41.7431,-96.8196,41.7426,-96.7906,41.7431,-96.7631,42.087,-96.8196,41.7426,-96.7906,41.7431,-96.8196,41.7426,-96.8196,41.7424
78,78,1,-96.7631,42.087,-96.7907,41.7424,-96.7784,41.7423,-96.7907,41.7424,-96.7784,41.7426,-96.7907,41.7424,-96.7784,41.7423,-96.7784,41.7426,-96.7907,41.7424,-96.7784,41.7426,-96.7631,42.087
79,79,1,-96.7631,42.087,-96.7784,41.7423,-96.7634,41.7423,-96.7634,41.7423,-96.7784,41.7426,-96.7634,41.7423,-96.7631,42.087,-96.7784,41.7426,-96.7634,41.7423,-96.7784,41.7426,-96.7784,41.7423
80,80,1,-96.9598,41.8345,-96.7566,49.8803,-97.0194,42.0906,-97.0194,42.0906,-96.9533,42.0907,-97.0194,42.0906,-96.9598,41.8345,-96.9533,42.0907,-97.0194,42.0906,-96.9533,42.0907,-96.7566,49.8803
81,81,1,-96.9598,41.8345,-97.0194,42.0906,-97.0209,42.046,-97.0194,42.0906,-97.0185,42.0377,-97.0194,42.0906,-97.0209,42.046,-97.0185,42.0377,-97.0194,42.0906,-97.0185,42.0377,-96.9598,41.8345
82,82,1,-96.9598,41.8345,-97.0209,42.046,-97.022,42.0113,-96.9598,41.8345,-97.0215,42.0267,-96.9598,41.8345,-97.0209,42.046,-97.0215,42.0267,-96.9598,41.8345,-97.0215,42.0267,-97.022,42.0113
83,83,1,-96.9598,41.8345,-97.022,42.0113,-97.0238,41.9585,-97.0238,41.9585,-97.0175,41.9984,-97.0238,41.9585,-96.9598,41.8345,-97.0175,41.9984,-97.0238,41.9585,-97.0175,41.9984,-97.022,42.0113
84,84,1,-96.9598,41.8345,-97.0238,41.9585,-97.0255,41.909,-97.0255,41.909,-97.0168,41.9449,-97.0255,41.909,-96.9598,41.8345,-97.0168,41.9449,-97.0255,41.909,-97.0168,41.9449,-97.0238,41.9585
85,85,1,-96.9598,41.8345,-97.0255,41.909,-97.0274,41.8524,-96.9598,41.8345,-97.0268,41.8701,-96.9598,41.8345,-97.0255,41.909,-97.0268,41.8701,-96.9598,41.8345,-97.0268,41.8701,-97.0274,41.8524
86,86,1,-97.0274,41.8524,-97.0311,41.743,-97.0136,41.7655,-97.0311,41.743,-97.0167,41.7849,-97.0311,41.743,-97.0136,41.7655,-97.0167,41.7849,-97.0311,41.743,-97.0167,41.7849,-97.0274,41.8524
87,87,1,-97.0274,41.8524,-97.0136,41.7655,-96.9598,41.8345,-96.9598,41.8345,-97.0238,41.83,-96.9598,41.8345,-97.0274,41.8524,-97.0238,41.83,-96.9598,41.8345,-97.0238,41.83,-97.0136,41.7655
88,88,1,-96.8641,41.9574,-96.858,42.4068,-96.9042,42.1471,-96.9042,42.1471,-96.8626,42.0664,-96.9042,42.1471,-96.8641,41.9574,-96.8626,42.0664,-96.9042,42.1471,-96.8626,42.0664,-96.858,42.4068
89,89,1,-96.8641,41.9574,-96.9042,42.1471,-96.9598,41.8345,-96.9598,41.8345,-96.8995,42.125,-96.9598,41.8345,-96.8641,41.9574,-96.8995,42.125,-96.9598,41.8345,-96.8995,42.125,-96.9042,42.1471
90,90,1,-96.858,42.4068,-96.7566,49.8803,-96.9563,41.9741,-96.9563,41.9741,-96.8538,42.7157,-96.9563,41.9741,-96.858,42.4068,-96.8538,42.7157,-96.9563,41.9741,-96.8538,42.7157,-96.7566,49.8803
91,91,1,-96.858,42.4068,-96.9563,41.9741,-96.9598,41.8345,-96.9598,41.8345,-96.9067,42.1924,-96.9598,41.8345,-96.858,42.4068,-96.9067,42.1924,-96.9598,41.8345,-96.9067,42.1924,-96.9563,41.9741
92,92,1,-96.7631,42.087,-96.763,42.1905,-96.805,42.0936,-96.805,42.0936,-96.7631,42.0892,-96.805,42.0936,-96.7631,42.087,-96.7631,42.0892,-96.805,42.0936,-96.7631,42.0892,-96.763,42.1905
93,93,1,-96.7631,42.087,-96.805,42.0936,-96.8641,41.9574,-96.8641,41.9574,-96.7983,42.0925,-96.8641,41.9574,-96.7631,42.087,-96.7983,42.0925,-96.8641,41.9574,-96.7983,42.0925,-96.805,42.0936
94,94,1,-96.8641,41.9574,-96.763,42.1905,-96.7629,42.3725,-96.7629,42.3725,-96.8281,42.0404,-96.7629,42.3725,-96.8641,41.9574,-96.8281,42.0404,-96.7629,42.3725,-96.8281,42.0404,-96.763,42.1905
95,95,1,-96.8641,41.9574,-96.7629,42.3725,-96.7566,49.8803,-96.7566,49.8803,-96.8443,42.0385,-96.7566,49.8803,-96.8641,41.9574,-96.8443,42.0385,-96.7566,49.8803,-96.8443,42.0385,-96.7629,42.3725
96,96,1,-96.5491,41.8409,-96.7631,42.0494,-96.5576,41.7574,-96.5491,41.8409,-96.5625,41.7643,-96.5491,41.8409,-96.7631,42.0494,-96.5625,41.7643,-96.5491,41.8409,-96.5625,41.7643,-96.5576,41.7574
97,97,1,-96.5491,41.8409,-96.5576,41.7574,-96.5465,41.7417,-96.5576,41.7574,-96.5479,41.7939,-96.5576,41.7574,-96.5465,41.7417,-96.5479,41.7939,-96.5576,41.7574,-96.5479,41.7939,-96.5491,41.8409
98,98,1,-96.7631,42.0494,-96.5491,41.8409,-96.5505,41.8975,-96.7631,42.0494,-96.55,41.8774,-96.7631,42.0494,-96.5491,41.8409,-96.55,41.8774,-96.7631,42.0494,-96.55,41.8774,-96.5505,41.8975
99,99,1,-96.7631,42.0494,-96.5505,41.8975,-96.5515,41.9342,-96.5505,41.8975,-96.5599,41.9388,-96.5505,41.8975,-96.5515,41.9342,-96.5599,41.9388,-96.5505,41.8975,-96.5599,41.9388,-96.7631,42.0494
100,100,1,-96.7631,42.0494,-96.5515,41.9342,-96.5526,41.9777,-96.7631,42.0494,-96.5521,41.958,-96.7631,42.0494,-96.5515,41.9342,-96.5521,41.958,-96.7631,42.0494,-96.5521,41.958,-96.5526,41.9777
101,101,1,-96.7631,42.0494,-96.5526,41.9777,-96.5536,42.0156,-96.7631,42.0494,-96.5529,41.9903,-96.7631,42.0494,-96.5526,41.9777,-96.5529,41.9903,-96.7631,42.0494,-96.5529,41.9903,-96.5536,42.0156
102,102,1,-96.7631,42.0494,-96.5536,42.0156,-96.5549,42.0668,-96.7631,42.0494,-96.5545,42.0509,-96.7631,42.0494,-96.5536,42.0156,-96.5545,42.0509,-96.7631,42.0494,-96.5545,42.0509,-96.5549,42.0668
103,103,1,-96.7631,42.0494,-96.5549,42.0668,-96.5557,42.0957,-96.7631,42.0494,-96.5554,42.085,-96.7631,42.0494,-96.5549,42.0668,-96.5554,42.085,-96.7631,42.0494,-96.5554,42.085,-96.5557,42.0957
104,104,1,-96.5568,42.1405,-96.7631,42.0494,-96.6788,42.0682,-96.6788,42.0682,-96.6485,42.1,-96.6788,42.0682,-96.5568,42.1405,-96.6485,42.1,-96.6788,42.0682,-96.6485,42.1,-96.7631,42.0494
105,105,1,-96.5568,42.1405,-96.6788,42.0682,-96.6301,42.0791,-96.6301,42.0791,-96.6186,42.1039,-96.6301,42.0791,-96.5568,42.1405,-96.6186,42.1039,-96.6301,42.0791,-96.6186,42.1039,-96.6788,42.0682
106,106,1,-96.5568,42.1405,-96.6301,42.0791,-96.6062,42.0844,-96.6062,42.0844,-96.6111,42.095,-96.6062,42.0844,-96.5568,42.1405,-96.6111,42.095,-96.6062,42.0844,-96.6111,42.095,-96.6301,42.0791
107,107,1,-96.5568,42.1405,-96.6062,42.0844,-96.5557,42.0957,-96.5568,42.1405,-96.5932,42.0874,-96.5568,42.1405,-96.6062,42.0844,-96.5932,42.0874,-96.5568,42.1405,-96.5932,42.0874,-96.5557,42.0957
108,108,1,-96.7631,42.0722,-96.5568,42.1405,-96.5599,42.2612,-96.5599,42.2612,-96.7291,42.0835,-96.5599,42.2612,-96.7631,42.0722,-96.7291,42.0835,-96.5599,42.2612,-96.7291,42.0835,-96.5568,42.1405
109,109,1,-96.7631,42.0722,-96.5599,42.2612,-96.7566,49.8803,-96.5599,42.2612,-96.7631,42.081,-96.5599,42.2612,-96.7566,49.8803,-96.7631,42.081,-96.5599,42.2612,-96.7631,42.081,-96.7631,42.0722
